"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"Condensation Of Prophase Chromosomes R-HSA-2299718","6/43",4.62380729997911e-05,0.00129772132495165,0,0,10.6254054054054,106.059683601679,"H2AX;CCNB1;NCAPH2;PLK1;CDK1;PHF8","Reactome_2022","Downregulated"
"Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231","10/136",4.7188694474049e-05,0.00129772132495165,0,0,5.24667524667525,52.2640010918653,"RACGAP1;KIFC1;KIF4A;CDK2;KIF13B;KIF1C;KIF2C;KIF20A;KIF11;KIF22","Reactome_2022","Downregulated"
"Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658","4/14",4.76519458366578e-05,0.00129772132495165,0,0,26.0715231788079,259.453033552509,"CCNB2;CCNB1;PLK1;CDK1","Reactome_2022","Downregulated"
"Phosphorylation Of Emi1 R-HSA-176417","3/6",6.85489096375136e-05,0.00180659545722092,0,0,64.986798679868,623.091025011481,"CCNB1;PLK1;CDK1","Reactome_2022","Downregulated"
"Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442","11/181",0.000112768661440787,0.0028791248874101,0,0,4.28243270189432,38.9280501881209,"RACGAP1;KIFC1;KIF4A;GALNT1;KIF13B;KIF1C;KIF2C;KIF20A;KIF11;KIF22;ARF5","Reactome_2022","Downregulated"
"G2/M Transition R-HSA-69275","11/182",0.000118418000994183,0.00293174263067418,0,0,4.25717117652889,38.4903183847868,"CCNA2;MZT2B;CCNB2;CCNB1;FBXW11;PLK1;CDK2;CDK1;CSNK1E;HMMR;HAUS1","Reactome_2022","Downregulated"
"Mitotic G2-G2/M Phases R-HSA-453274","11/184",0.000130443286947542,0.00313447545400417,0,0,4.20752424806505,37.6345036140645,"CCNA2;MZT2B;CCNB2;CCNB1;FBXW11;PLK1;CDK2;CDK1;CSNK1E;HMMR;HAUS1","Reactome_2022","Downregulated"
"DNA Replication R-HSA-69306","10/155",0.00014114617777048,0.00329475506395662,0,0,4.55475302889096,40.3811398939731,"H2AX;CCNA2;GINS1;POLA1;POLA2;UBE2C;PRIM1;CDK2;MCM10;POLE","Reactome_2022","Downregulated"
"RHO GTPase Cycle R-HSA-9012999","18/441",0.000166618884412394,0.00378132301569238,0,0,2.84736997635934,24.7715535425258,"GRB7;JAG1;ABCD3;ARHGEF12;NDUFA5;NCOA3;CYBA;ANLN;CCDC88A;RACGAP1;CDC42EP4;RAPGEF1;FLOT1;NDUFS3;ABL2;PLXNA1;FLOT2;ECT2","Reactome_2022","Downregulated"
"S Phase R-HSA-69242","10/161",0.000192598626495495,0.00425278588775188,0,0,4.37242706282441,37.4056858554129,"CCNA2;GINS1;POLA1;POLA2;UBE2C;CDCA5;PRIM1;CDK2;AKT1;POLE","Reactome_2022","Downregulated"
